@relation observations.arff

@attribute LOCALS numeric
@attribute DEREFERNCES numeric
@attribute GOTO numeric
@attribute INVOCATIONS numeric
@attribute THROWS numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute IF numeric
@attribute ASSIGNMENTS numeric
@attribute FIELDS_WRITTEN numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
12,2,5,0,0,1,0,12,5,5,1,5,?
34,4,7,18,0,3,0,34,7,16,1,7,?
28,4,7,12,0,3,0,28,7,13,1,7,?
26,3,6,12,0,2,0,26,6,12,1,6,?
32,4,7,16,0,3,0,32,7,15,1,7,?
26,4,7,10,0,3,0,26,7,12,1,7,?
24,3,6,10,0,2,0,24,6,11,1,6,?
31,3,6,16,0,2,0,30,6,14,0,6,?
25,3,6,10,0,2,0,24,6,11,0,6,?
23,2,5,10,0,1,0,22,5,10,0,5,?
24,4,7,8,0,3,0,24,7,11,1,7,?
18,4,7,2,0,3,0,18,7,8,1,7,?
16,3,6,2,0,2,0,16,6,7,1,6,?
22,4,7,6,0,3,0,22,7,10,1,7,?
16,4,7,0,0,3,0,16,7,7,1,7,?
14,3,6,0,0,2,0,14,6,6,1,6,?
21,3,6,6,0,2,0,20,6,9,0,6,?
15,3,6,0,0,2,0,14,6,6,0,6,?
13,2,5,0,0,1,0,12,5,5,0,5,?
22,3,6,8,0,2,0,22,6,10,1,6,?
16,3,6,2,0,2,0,16,6,7,1,6,?
14,2,5,2,0,1,0,14,5,6,1,5,?
20,3,6,6,0,2,0,20,6,9,1,6,?
14,3,6,0,0,2,0,14,6,6,1,6,?
12,2,5,0,0,1,0,12,5,5,1,5,?
19,2,5,6,0,1,0,18,5,8,0,5,?
13,2,5,0,0,1,0,12,5,5,0,5,?
11,1,4,0,0,0,0,10,4,4,0,4,?
39,5,8,20,0,4,0,39,8,19,2,8,?
33,5,8,14,0,4,0,33,8,16,2,8,?
31,4,7,14,0,3,0,31,7,15,2,7,?
37,5,8,18,0,4,0,37,8,18,2,8,?
31,5,8,12,0,4,0,31,8,15,2,8,?
29,4,7,12,0,3,0,29,7,14,2,7,?
36,4,7,18,0,3,0,35,7,17,1,7,?
30,4,7,12,0,3,0,29,7,14,1,7,?
28,3,6,12,0,2,0,27,6,13,1,6,?
29,5,8,10,0,4,0,29,8,14,2,8,?
23,5,8,4,0,4,0,23,8,11,2,8,?
21,4,7,4,0,3,0,21,7,10,2,7,?
27,5,8,8,0,4,0,27,8,13,2,8,?
21,5,8,2,0,4,0,21,8,10,2,8,?
19,4,7,2,0,3,0,19,7,9,2,7,?
26,4,7,8,0,3,0,25,7,12,1,7,?
20,4,7,2,0,3,0,19,7,9,1,7,?
18,3,6,2,0,2,0,17,6,8,1,6,?
27,4,7,10,0,3,0,27,7,13,2,7,?
21,4,7,4,0,3,0,21,7,10,2,7,?
19,3,6,4,0,2,0,19,6,9,2,6,?
25,4,7,8,0,3,0,25,7,12,2,7,?
19,4,7,2,0,3,0,19,7,9,2,7,?
17,3,6,2,0,2,0,17,6,8,2,6,?
24,3,6,8,0,2,0,23,6,11,1,6,?
18,3,6,2,0,2,0,17,6,8,1,6,?
16,2,5,2,0,1,0,15,5,7,1,5,?
37,5,8,18,0,4,0,37,8,18,2,8,?
31,5,8,12,0,4,0,31,8,15,2,8,?
29,4,7,12,0,3,0,29,7,14,2,7,?
35,5,8,16,0,4,0,35,8,17,2,8,?
29,5,8,10,0,4,0,29,8,14,2,8,?
27,4,7,10,0,3,0,27,7,13,2,7,?
34,4,7,16,0,3,0,33,7,16,1,7,?
28,4,7,10,0,3,0,27,7,13,1,7,?
26,3,6,10,0,2,0,25,6,12,1,6,?
27,5,8,8,0,4,0,27,8,13,2,8,?
21,5,8,2,0,4,0,21,8,10,2,8,?
19,4,7,2,0,3,0,19,7,9,2,7,?
25,5,8,6,0,4,0,25,8,12,2,8,?
19,5,8,0,0,4,0,19,8,9,2,8,?
17,4,7,0,0,3,0,17,7,8,2,7,?
24,4,7,6,0,3,0,23,7,11,1,7,?
18,4,7,0,0,3,0,17,7,8,1,7,?
16,3,6,0,0,2,0,15,6,7,1,6,?
25,4,7,8,0,3,0,25,7,12,2,7,?
19,4,7,2,0,3,0,19,7,9,2,7,?
17,3,6,2,0,2,0,17,6,8,2,6,?
23,4,7,6,0,3,0,23,7,11,2,7,?
17,4,7,0,0,3,0,17,7,8,2,7,?
15,3,6,0,0,2,0,15,6,7,2,6,?
22,3,6,6,0,2,0,21,6,10,1,6,?
16,3,6,0,0,2,0,15,6,7,1,6,?
14,2,5,0,0,1,0,13,5,6,1,5,?
36,4,7,18,0,3,0,35,7,17,1,7,?
30,4,7,12,0,3,0,29,7,14,1,7,?
28,3,6,12,0,2,0,27,6,13,1,6,?
34,4,7,16,0,3,0,33,7,16,1,7,?
28,4,7,10,0,3,0,27,7,13,1,7,?
26,3,6,10,0,2,0,25,6,12,1,6,?
33,3,6,16,0,2,0,31,6,15,0,6,?
27,3,6,10,0,2,0,25,6,12,0,6,?
25,2,5,10,0,1,0,23,5,11,0,5,?
26,4,7,8,0,3,0,25,7,12,1,7,?
20,4,7,2,0,3,0,19,7,9,1,7,?
18,3,6,2,0,2,0,17,6,8,1,6,?
24,4,7,6,0,3,0,23,7,11,1,7,?
18,4,7,0,0,3,0,17,7,8,1,7,?
16,3,6,0,0,2,0,15,6,7,1,6,?
23,3,6,6,0,2,0,21,6,10,0,6,?
17,3,6,0,0,2,0,15,6,7,0,6,?
15,2,5,0,0,1,0,13,5,6,0,5,?
24,3,6,8,0,2,0,23,6,11,1,6,?
18,3,6,2,0,2,0,17,6,8,1,6,?
16,2,5,2,0,1,0,15,5,7,1,5,?
22,3,6,6,0,2,0,21,6,10,1,6,?
16,3,6,0,0,2,0,15,6,7,1,6,?
14,2,5,0,0,1,0,13,5,6,1,5,?
21,2,5,6,0,1,0,19,5,9,0,5,?
15,2,5,0,0,1,0,13,5,6,0,5,?
13,1,4,0,0,0,0,11,4,5,0,4,?
77,8,4,28,0,7,4,51,4,36,1,4,?
15,4,4,2,0,3,0,14,4,7,1,4,?
13,3,3,2,0,2,0,12,3,6,1,3,?
75,8,4,26,0,7,4,49,4,35,1,4,?
13,4,4,0,0,3,0,12,4,6,1,4,?
11,3,3,0,0,2,0,10,3,5,1,3,?
74,7,3,26,0,6,4,47,3,34,0,3,?
12,3,3,0,0,2,0,10,3,5,0,3,?
10,2,2,0,0,1,0,8,2,4,0,2,?
79,8,4,28,0,7,4,52,4,37,1,4,?
17,4,4,2,0,3,0,15,4,8,1,4,?
15,3,3,2,0,2,0,13,3,7,1,3,?
77,8,4,26,0,7,4,50,4,36,1,4,?
15,4,4,0,0,3,0,13,4,7,1,4,?
13,3,3,0,0,2,0,11,3,6,1,3,?
76,7,3,26,0,6,4,48,3,35,0,3,?
14,3,3,0,0,2,0,11,3,6,0,3,?
12,2,2,0,0,1,0,9,2,5,0,2,?
5,1,0,4,0,0,0,6,0,0,0,0,?
18,2,5,6,0,1,0,18,3,7,0,1,?
18,2,4,6,0,1,0,17,3,7,0,1,?
12,2,3,5,0,1,0,13,2,5,0,1,?
12,2,2,5,0,1,0,12,2,5,0,1,?
1,1,0,1,0,0,0,3,0,0,0,0,?
6,4,0,2,0,4,0,8,0,7,4,0,?
23,5,3,4,0,3,3,18,2,10,2,0,?
13,3,1,3,0,2,2,11,1,6,2,0,?
3,0,0,1,0,0,1,3,0,1,0,0,?
4,2,1,0,0,0,0,4,1,0,0,0,?
11,2,3,2,0,0,0,8,3,2,0,2,?
19,4,4,2,0,2,0,12,4,5,0,3,?
27,6,5,3,0,4,0,16,5,8,0,3,?
27,6,5,3,0,4,0,16,5,8,0,3,?
5,2,2,0,0,0,0,5,2,0,0,1,?
4,2,0,0,0,1,0,3,0,1,0,0,?
2,1,0,1,0,0,0,3,0,0,0,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
9,3,0,0,0,2,0,5,0,3,0,0,?
46,7,4,9,0,4,0,25,2,10,0,2,?
45,7,3,9,0,4,0,24,2,10,0,2,?
33,7,1,6,0,4,0,17,1,7,0,1,?
6,1,2,1,0,0,0,6,1,2,0,0,?
6,1,1,1,0,0,0,5,1,2,0,0,?
36,4,4,11,0,2,2,23,3,13,0,3,?
17,4,2,3,0,2,1,12,2,6,0,2,?
10,3,1,1,0,1,1,8,1,3,0,1,?
2,1,0,1,0,0,0,3,0,0,0,0,?
6,3,2,1,0,3,0,7,1,4,1,0,?
4,2,1,0,0,2,0,4,1,2,0,0,?
17,4,0,5,0,3,1,12,0,8,1,0,?
2,1,0,1,0,0,0,3,0,0,0,0,?
4,2,0,1,0,0,0,4,0,0,0,0,?
67,3,6,21,0,0,5,45,4,29,0,4,?
97,3,10,29,0,0,7,62,7,37,0,5,?
88,3,8,27,0,0,7,57,6,35,0,5,?
95,3,10,28,0,0,7,61,7,37,0,5,?
86,3,8,26,0,0,7,56,6,35,0,5,?
39,3,3,11,0,0,3,28,2,18,0,2,?
58,3,6,17,0,0,4,40,4,25,0,4,?
88,3,10,25,0,0,6,57,7,33,0,5,?
79,3,8,23,0,0,6,52,6,31,0,5,?
86,3,10,24,0,0,6,56,7,33,0,5,?
77,3,8,22,0,0,6,51,6,31,0,5,?
30,3,3,7,0,0,2,23,2,14,0,2,?
7,2,0,2,0,1,0,6,0,2,0,0,?
12,2,0,3,0,0,2,8,0,3,0,0,?
57,5,5,18,0,3,3,35,4,23,0,2,?
43,4,5,12,0,2,2,27,4,17,0,2,?
40,4,4,11,0,2,2,25,3,16,0,2,?
37,4,3,10,0,2,2,23,2,15,0,2,?
56,5,4,18,0,3,3,34,4,23,0,2,?
42,4,4,12,0,2,2,26,4,17,0,2,?
39,4,3,11,0,2,2,24,3,16,0,2,?
36,4,2,10,0,2,2,22,2,15,0,2,?
29,3,3,10,0,1,1,19,1,11,0,1,?
30,2,2,11,0,0,2,20,1,10,0,1,?
8,2,0,2,0,1,0,6,0,2,0,0,?
27,4,4,4,0,0,0,15,4,9,0,3,?
47,6,8,7,0,0,0,26,7,16,0,5,?
32,3,6,5,1,0,1,20,5,11,0,3,?
39,5,7,5,0,0,0,22,6,13,0,4,?
24,2,5,3,1,0,1,16,4,8,0,2,?
12,1,2,2,1,0,1,9,2,4,0,1,?
7,1,1,2,1,0,1,6,1,2,0,1,?
5,1,2,1,0,0,0,5,2,1,0,1,?
45,4,8,11,0,1,1,29,6,16,0,2,?
31,3,8,5,0,0,0,21,6,10,0,2,?
64,6,8,17,0,2,2,38,7,24,0,2,?
50,5,8,11,0,1,1,30,7,18,0,2,?
47,4,8,11,0,1,1,29,7,17,0,2,?
33,3,8,5,0,0,0,21,7,11,0,2,?
29,2,4,9,0,1,1,19,4,11,0,1,?
15,1,4,3,0,0,0,11,4,5,0,1,?
2,1,1,0,0,0,0,3,1,0,0,1,?
38,5,0,13,0,3,2,21,0,16,0,0,?
20,2,0,7,0,1,2,12,0,8,0,0,?
29,1,3,4,0,0,1,16,2,11,0,2,?
15,1,1,2,0,0,1,10,1,7,0,1,?
12,1,0,4,0,0,1,8,0,4,0,0,?
6,4,1,0,0,0,0,6,1,0,0,0,?
23,4,3,1,0,0,1,13,3,4,0,1,?
18,4,3,1,0,0,0,11,3,2,0,1,?
16,4,2,1,0,0,1,10,2,2,0,1,?
4,4,0,1,0,4,0,6,0,5,3,0,?
0,0,0,0,0,0,0,1,0,0,0,0,?
11,1,1,4,0,0,1,9,0,4,0,0,?
11,1,0,3,0,0,0,7,0,4,0,0,?
6,3,0,1,0,0,0,5,0,0,0,0,?
2,1,0,1,0,0,0,3,0,0,0,0,?
4,1,0,2,0,0,0,4,0,1,0,0,?
11,1,0,5,0,1,1,8,0,6,1,0,?
73,31,4,7,0,26,2,49,3,35,15,1,?
73,31,3,7,0,26,2,48,3,35,15,1,?
72,30,4,7,0,25,2,48,3,34,14,1,?
72,30,3,7,0,25,2,47,3,34,14,1,?
72,30,4,7,0,25,2,48,3,34,14,1,?
72,30,3,7,0,25,2,47,3,34,14,1,?
71,29,4,7,0,24,2,47,3,33,13,1,?
71,29,3,7,0,24,2,46,3,33,13,1,?
22,7,5,0,0,6,0,16,3,9,2,0,?
27,10,4,2,0,9,0,20,3,12,4,0,?
26,8,5,0,0,7,0,17,3,10,2,0,?
31,11,4,2,0,10,0,21,3,13,4,0,?
25,8,3,0,0,7,0,15,2,10,2,0,?
30,11,2,2,0,10,0,19,2,13,4,0,?
21,17,0,2,0,16,1,21,0,17,16,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
6,4,0,0,0,2,0,5,0,2,2,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,2,0,1,0,0,0,4,0,0,0,0,?
7,5,0,0,0,2,0,6,0,2,2,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
6,3,0,1,0,1,0,5,0,1,0,0,?
7,3,2,0,0,2,0,6,1,2,0,1,?
6,2,1,0,0,1,0,5,1,2,0,1,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
9,2,1,2,0,1,0,6,1,3,0,0,?
22,3,3,6,0,2,1,14,3,8,0,0,?
22,3,3,6,0,2,1,14,3,8,0,0,?
22,4,2,5,1,3,2,14,2,8,0,0,?
28,2,5,7,0,1,0,18,4,11,0,3,?
26,2,5,6,0,1,0,17,4,10,0,3,?
20,2,4,5,0,1,0,14,3,8,0,3,?
10,2,1,2,0,1,0,7,1,4,0,1,?
20,1,1,8,0,0,1,12,1,8,0,1,?
4,1,1,1,0,0,0,4,1,1,0,1,?
4,1,1,1,0,0,0,4,1,1,0,1,?
12,3,3,2,0,2,0,9,3,4,0,2,?
26,4,5,6,0,3,0,17,5,10,0,3,?
36,4,8,9,0,3,0,24,7,14,0,4,?
29,4,7,7,0,3,0,20,6,11,0,4,?
19,4,4,4,0,3,0,13,4,7,0,3,?
21,3,4,5,0,2,0,14,4,8,0,3,?
31,3,7,8,0,2,0,21,6,12,0,4,?
24,3,6,6,0,2,0,17,5,9,0,4,?
14,3,3,3,0,2,0,10,3,5,0,3,?
90,7,8,30,0,5,4,52,6,34,0,6,?
62,7,6,19,0,5,3,37,5,23,0,5,?
74,6,8,24,0,4,3,44,6,28,0,6,?
46,6,6,13,0,4,2,29,5,17,0,5,?
71,7,6,22,0,5,3,41,5,27,0,5,?
43,7,4,11,0,5,2,26,4,16,0,4,?
55,6,6,16,0,4,2,33,5,21,0,5,?
27,6,4,5,0,4,1,18,4,10,0,4,?
64,6,5,20,0,4,3,37,4,24,0,4,?
36,6,3,9,0,4,2,22,3,13,0,3,?
48,5,5,14,0,3,2,29,4,18,0,4,?
20,5,3,3,0,3,1,14,3,7,0,3,?
41,6,4,9,0,3,0,23,3,10,0,3,?
29,6,2,6,0,3,0,16,2,6,0,2,?
34,5,4,8,0,2,0,20,3,8,0,3,?
22,5,2,5,0,2,0,13,2,4,0,2,?
9,3,0,2,0,0,0,6,0,0,0,0,?
14,3,0,3,0,0,0,8,0,1,0,0,?
2,1,0,1,0,0,0,3,0,0,0,0,?
32,4,2,8,0,1,2,20,2,13,0,0,?
49,5,5,10,0,1,3,30,4,19,0,0,?
45,4,8,4,0,0,3,28,6,16,0,0,?
46,4,8,5,0,0,3,29,6,16,0,0,?
32,2,6,3,0,0,2,21,5,12,0,0,?
