@relation training_50.arff

@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute THROWS numeric
@attribute GOTO numeric
@attribute IF numeric
@attribute STATEMENTS numeric
@attribute NEW numeric
@attribute LOCALS numeric
@attribute INVOCATIONS numeric
@attribute EQUAL numeric
@attribute FIELDS_WRITTEN numeric
@attribute DEREFERNCES numeric
@attribute class {hot,cold}

@data
30,60,0,14,10,98,0,213,25,3,0,33,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
31,62,0,14,11,100,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
29,58,0,12,9,94,0,208,24,3,0,32,?
31,62,0,17,11,103,0,218,26,3,0,34,?
31,62,0,17,11,103,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
30,60,0,15,10,99,0,213,25,3,0,33,?
31,62,0,17,11,103,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
31,62,0,15,11,101,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
29,58,0,13,9,95,0,208,24,3,0,32,?
31,62,0,16,11,102,0,218,26,3,0,34,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
30,60,0,14,10,98,0,213,25,3,0,33,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
31,62,0,14,11,100,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
29,58,0,12,9,94,0,208,24,3,0,32,?
31,62,0,16,11,102,0,218,26,3,0,34,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
30,60,0,14,10,98,0,213,25,3,0,33,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
31,62,0,14,11,100,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
29,58,0,12,9,94,0,208,24,3,0,32,?
31,62,0,15,11,101,0,218,26,3,0,34,?
31,62,0,15,11,101,0,218,26,3,0,34,?
30,60,0,13,10,97,0,213,25,3,0,33,?
30,60,0,13,10,97,0,213,25,3,0,33,?
31,62,0,15,11,101,0,218,26,3,0,34,?
30,60,0,13,10,97,0,213,25,3,0,33,?
31,62,0,13,11,99,0,218,26,3,0,34,?
30,60,0,13,10,97,0,213,25,3,0,33,?
29,58,0,11,9,93,0,208,24,3,0,32,?
30,61,0,16,10,101,0,215,26,2,0,33,?
30,61,0,16,10,101,0,215,26,2,0,33,?
29,59,0,14,9,97,0,210,25,2,0,32,?
29,59,0,14,9,97,0,210,25,2,0,32,?
30,61,0,16,10,101,0,215,26,2,0,33,?
29,59,0,14,9,97,0,210,25,2,0,32,?
30,61,0,14,10,99,0,215,26,2,0,33,?
29,59,0,14,9,97,0,210,25,2,0,32,?
28,57,0,12,8,93,0,205,24,2,0,31,?
30,61,0,15,10,100,0,215,26,2,0,33,?
30,61,0,15,10,100,0,215,26,2,0,33,?
29,59,0,13,9,96,0,210,25,2,0,32,?
29,59,0,13,9,96,0,210,25,2,0,32,?
30,61,0,15,10,100,0,215,26,2,0,33,?
29,59,0,13,9,96,0,210,25,2,0,32,?
30,61,0,13,10,98,0,215,26,2,0,33,?
29,59,0,13,9,96,0,210,25,2,0,32,?
28,57,0,11,8,92,0,205,24,2,0,31,?
30,61,0,15,10,100,0,215,26,2,0,33,?
30,61,0,15,10,100,0,215,26,2,0,33,?
29,59,0,13,9,96,0,210,25,2,0,32,?
29,59,0,13,9,96,0,210,25,2,0,32,?
30,61,0,15,10,100,0,215,26,2,0,33,?
29,59,0,13,9,96,0,210,25,2,0,32,?
30,61,0,13,10,98,0,215,26,2,0,33,?
29,59,0,13,9,96,0,210,25,2,0,32,?
28,57,0,11,8,92,0,205,24,2,0,31,?
30,61,0,14,10,99,0,215,26,2,0,33,?
30,61,0,14,10,99,0,215,26,2,0,33,?
29,59,0,12,9,95,0,210,25,2,0,32,?
29,59,0,12,9,95,0,210,25,2,0,32,?
30,61,0,14,10,99,0,215,26,2,0,33,?
29,59,0,12,9,95,0,210,25,2,0,32,?
30,61,0,12,10,97,0,215,26,2,0,33,?
29,59,0,12,9,95,0,210,25,2,0,32,?
28,57,0,10,8,91,0,205,24,2,0,31,?
31,62,0,17,11,103,0,218,26,3,0,34,?
31,62,0,17,11,103,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
30,60,0,15,10,99,0,213,25,3,0,33,?
31,62,0,17,11,103,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
31,62,0,15,11,101,0,218,26,3,0,34,?
30,60,0,15,10,99,0,213,25,3,0,33,?
29,58,0,13,9,95,0,208,24,3,0,32,?
31,62,0,16,11,102,0,218,26,3,0,34,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
30,60,0,14,10,98,0,213,25,3,0,33,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
31,62,0,14,11,100,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
29,58,0,12,9,94,0,208,24,3,0,32,?
31,62,0,16,11,102,0,218,26,3,0,34,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
30,60,0,14,10,98,0,213,25,3,0,33,?
31,62,0,16,11,102,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
31,62,0,14,11,100,0,218,26,3,0,34,?
30,60,0,14,10,98,0,213,25,3,0,33,?
29,58,0,12,9,94,0,208,24,3,0,32,?
31,62,0,15,11,101,0,218,26,3,0,34,?
31,62,0,15,11,101,0,218,26,3,0,34,?
