@relation training_10.arff

@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute EQUAL numeric
@attribute FIELDS numeric
@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute IF numeric
@attribute LOCALS numeric
@attribute NEW numeric
@attribute GOTO numeric
@attribute FIELDS_WRITTEN numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}

@data
3,0,0,1,0,2,0,4,0,0,0,1,?
4,0,0,1,0,3,0,4,0,0,1,1,?
6,2,0,1,0,2,1,9,0,1,0,3,?
14,6,0,2,0,3,3,22,1,3,0,8,?
14,6,0,2,0,3,3,22,1,3,0,8,?
14,5,0,3,1,4,2,22,2,2,0,8,?
18,7,3,1,0,2,4,28,0,5,0,11,?
17,6,3,1,0,2,4,26,0,5,0,10,?
14,5,3,1,0,2,3,20,0,4,0,8,?
7,2,1,1,0,2,1,10,0,1,0,4,?
12,8,1,0,0,1,1,20,1,1,0,8,?
4,1,1,0,0,1,1,4,0,1,0,1,?
52,30,6,5,0,7,6,90,4,8,0,34,?
37,19,5,5,0,7,5,62,3,6,0,23,?
44,24,6,4,0,6,6,74,3,8,0,28,?
29,13,5,4,0,6,5,46,2,6,0,17,?
41,22,5,5,0,7,5,71,3,6,0,27,?
26,11,4,5,0,7,4,43,2,4,0,16,?
33,16,5,4,0,6,5,55,2,6,0,21,?
18,5,4,4,0,6,4,27,1,4,0,10,?
37,20,4,4,0,6,4,64,3,5,0,24,?
22,9,3,4,0,6,3,36,2,3,0,13,?
29,14,4,3,0,5,4,48,2,5,0,18,?
14,3,3,3,0,5,3,20,1,3,0,7,?
23,9,3,3,0,6,3,41,0,4,0,10,?
16,6,2,3,0,6,2,29,0,2,0,6,?
20,8,3,2,0,5,3,34,0,4,0,8,?
13,5,2,2,0,5,2,22,0,2,0,4,?
6,2,0,0,0,3,0,9,0,0,0,0,?
8,3,0,0,0,3,0,14,0,0,0,1,?
3,1,0,0,0,1,0,2,0,0,0,0,?
35,20,0,1,0,2,2,55,7,3,0,18,?
31,18,0,1,0,2,1,48,7,1,0,17,?
9,2,0,1,0,2,2,10,0,2,0,3,?
7,1,0,0,0,1,2,8,0,2,0,2,?
7,2,0,1,0,2,1,7,0,1,0,2,?
19,6,2,5,0,7,4,28,0,4,2,11,?
18,6,2,4,0,6,4,27,0,4,1,10,?
15,5,2,3,0,5,3,23,0,3,1,8,?
25,9,3,5,0,7,6,39,0,6,2,14,?
24,9,3,4,0,6,6,38,0,6,1,13,?
21,8,3,3,0,5,5,34,0,5,1,11,?
24,8,3,5,0,7,6,37,0,6,2,14,?
23,8,3,4,0,6,6,36,0,6,1,13,?
20,7,3,3,0,5,5,32,0,5,1,11,?
18,5,2,5,0,7,4,26,0,4,2,11,?
17,5,2,4,0,6,4,25,0,4,1,10,?
14,4,2,3,0,5,3,21,0,3,1,8,?
24,8,3,5,0,7,6,37,0,6,2,14,?
23,8,3,4,0,6,6,36,0,6,1,13,?
20,7,3,3,0,5,5,32,0,5,1,11,?
23,7,3,5,0,7,6,35,0,6,2,14,?
22,7,3,4,0,6,6,34,0,6,1,13,?
19,6,3,3,0,5,5,30,0,5,1,11,?
8,1,0,0,0,3,1,9,0,2,0,2,?
7,2,0,0,0,3,1,10,0,1,0,2,?
6,2,0,1,0,3,0,10,0,0,0,3,?
18,1,0,4,0,9,2,29,0,3,0,11,?
8,0,0,1,0,4,1,9,0,1,0,3,?
56,34,2,1,0,3,6,103,4,8,0,33,?
55,33,2,1,0,3,6,99,4,8,0,33,?
48,30,1,1,0,3,4,86,4,5,0,29,?
35,20,1,1,0,3,3,63,3,4,0,20,?
28,17,0,1,0,3,1,50,3,1,0,16,?
14,8,0,0,0,5,0,30,0,0,0,7,?
7,1,0,2,0,5,0,10,0,0,0,2,?
25,18,0,4,0,6,0,46,0,0,0,8,?
7,1,0,1,0,4,1,9,0,1,0,2,?
9,2,0,1,0,4,2,12,0,2,0,3,?
26,11,1,1,0,4,5,43,1,6,0,14,?
24,9,1,1,0,4,5,39,1,6,0,13,?
16,5,0,1,0,4,3,24,1,3,0,8,?
12,4,2,3,0,5,2,16,0,2,0,4,?
10,3,2,2,0,4,2,12,0,2,0,3,?
7,2,1,1,0,3,1,7,0,1,0,1,?
17,8,2,1,0,3,2,22,1,3,0,6,?
12,5,1,1,0,3,1,15,1,1,0,4,?
33,22,0,0,0,2,1,52,4,2,0,19,?
30,20,0,0,0,2,1,47,4,1,0,17,?
6,2,0,0,0,3,0,9,0,0,0,2,?
7,1,1,0,0,2,1,7,0,2,0,2,?
6,1,1,0,0,2,1,7,0,1,0,2,?
37,24,1,0,0,4,3,67,2,4,0,22,?
24,12,1,0,0,4,3,36,1,4,0,12,?
17,9,0,0,0,4,1,23,1,1,0,8,?
33,15,2,0,0,3,6,56,0,8,0,20,?
30,12,2,0,0,3,6,49,0,8,0,18,?
21,8,1,0,0,3,4,33,0,5,0,12,?
17,6,1,0,0,3,3,26,0,4,0,9,?
8,2,0,0,0,3,1,10,0,1,0,3,?
12,7,0,0,0,3,0,20,1,0,0,6,?
12,6,0,0,0,4,0,18,1,0,0,5,?
9,0,0,1,0,7,1,9,0,1,0,1,?
101,80,0,2,0,8,1,183,7,2,0,28,?
4,1,0,0,0,1,0,4,0,0,0,1,?
27,14,2,0,0,3,4,49,0,6,0,16,?
30,15,3,0,0,3,5,54,0,7,0,18,?
29,15,3,0,0,3,5,56,0,6,0,18,?
15,5,1,0,0,3,3,23,0,4,0,7,?
8,2,0,0,0,3,1,10,0,1,0,3,?
7,3,0,1,0,3,0,12,0,0,0,4,?
4,0,0,2,0,3,0,6,0,0,0,2,?
9,1,1,2,0,3,2,11,0,3,0,4,?
8,1,1,2,0,3,2,11,0,2,0,4,?
6,0,1,1,0,2,1,6,0,2,0,2,?
7,3,0,1,0,3,0,8,0,0,0,1,?
3,1,0,0,0,1,0,2,0,0,0,0,?
10,4,0,5,0,5,0,8,0,0,5,9,?
3,1,0,0,0,1,0,2,0,0,0,0,?
1,0,0,0,0,0,0,0,0,0,0,0,?
7,3,0,3,0,3,0,6,0,0,3,6,?
25,9,0,3,0,7,2,43,1,3,2,16,?
10,2,0,1,0,4,1,14,0,1,1,4,?
2,0,0,1,0,1,0,2,0,0,0,1,?
3,0,0,1,0,2,0,2,0,0,1,1,?
2,0,0,1,0,1,0,0,0,0,1,1,?
5,1,0,0,0,3,0,6,0,0,0,0,?
1,0,0,0,0,0,0,0,0,0,0,0,?
49,40,0,0,0,0,0,88,6,0,0,38,?
5,2,0,0,0,1,0,7,0,0,0,3,?
3,1,0,0,0,1,0,2,0,0,0,0,?
7,1,0,1,0,5,0,9,0,0,1,1,?
1,0,0,0,0,0,0,0,0,0,0,0,?
18,7,1,7,0,8,1,21,1,1,3,12,?
15,5,1,6,0,7,1,17,1,1,3,10,?
5,3,0,1,0,1,0,4,0,0,0,2,?
5,1,0,2,0,3,0,7,0,0,0,2,?
8,1,0,4,0,6,0,12,0,0,1,4,?
4,0,0,3,0,3,0,0,0,0,3,3,?
1,0,0,0,0,0,0,0,0,0,0,0,?
3,1,0,0,0,1,0,2,0,0,0,0,?
13,1,0,4,0,9,0,22,0,0,2,8,?
6,3,0,0,0,1,0,4,0,1,0,0,?
5,2,0,0,0,1,0,6,0,0,0,2,?
20,2,0,6,0,8,2,27,3,4,2,14,?
10,0,0,4,0,4,1,12,2,2,2,7,?
6,2,0,0,1,1,0,7,1,0,0,2,?
2,0,0,1,0,1,0,0,0,0,1,1,?
22,5,0,6,0,12,0,37,0,0,5,14,?
6,0,0,1,0,2,1,6,0,2,0,2,?
5,0,0,1,0,2,1,6,0,1,0,2,?
10,2,0,3,0,5,1,13,1,1,1,4,?
7,1,0,2,0,4,1,9,0,1,0,2,?
3,1,0,0,0,1,0,2,0,0,0,0,?
3,1,0,0,0,1,0,4,0,0,0,1,?
3,0,0,0,0,1,0,3,0,0,0,1,?
3,1,0,0,0,1,0,2,0,0,0,0,?
4,0,0,1,0,2,0,5,1,0,0,2,?
3,1,0,0,0,1,0,4,0,0,0,1,?
3,1,0,0,0,1,0,2,0,0,0,0,?
2,0,0,1,0,1,0,2,0,0,0,1,?
3,0,0,1,0,2,0,2,0,0,1,1,?
4,1,0,1,0,1,0,6,0,0,0,3,?
4,1,0,1,0,2,0,4,0,0,0,1,?
3,0,0,1,0,2,0,2,0,0,1,1,?
2,0,0,1,0,1,0,2,0,0,0,1,?
3,0,0,1,0,2,0,2,0,0,1,1,?
2,0,0,1,0,1,0,2,0,0,0,1,?
3,0,0,1,0,2,0,2,0,0,1,1,?
2,0,0,1,0,1,0,2,0,0,0,1,?
25,15,1,2,0,3,1,44,2,2,0,19,?
23,13,1,2,0,3,1,39,2,2,0,17,?
5,1,0,0,0,1,0,6,0,0,0,2,?
3,0,0,1,0,2,0,2,0,0,1,1,?
2,0,0,1,0,1,0,2,0,0,0,1,?
