@relation training_50.arff

@attribute THROWS numeric
@attribute GOTO numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute ASSIGNMENTS numeric
@attribute LOCALS numeric
@attribute IF numeric
@attribute DEREFERNCES numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
0,14,70,13,48,128,11,22,4,21,0,2,?
0,15,67,11,46,121,13,21,3,20,0,3,?
0,14,63,12,44,117,12,16,2,15,0,2,?
0,18,76,13,51,139,16,22,3,21,0,3,?
0,17,73,12,50,135,15,21,3,20,0,2,?
0,17,77,14,52,142,14,23,4,22,0,2,?
0,18,74,12,50,135,16,22,3,21,0,3,?
0,11,55,11,39,102,9,15,2,14,0,2,?
0,15,68,12,46,124,13,21,3,20,0,3,?
0,14,65,11,45,120,12,20,3,19,0,2,?
0,17,78,14,53,147,14,23,4,22,0,2,?
0,18,75,12,51,140,16,22,3,21,0,3,?
0,14,62,12,43,116,12,16,2,15,0,2,?
0,18,75,13,50,138,16,22,3,21,0,3,?
0,17,72,12,49,134,15,21,3,20,0,2,?
0,14,69,13,47,127,11,22,4,21,0,2,?
0,15,66,11,45,120,13,21,3,20,0,3,?
0,14,62,12,43,116,12,16,2,15,0,2,?
0,18,75,13,50,138,16,22,3,21,0,3,?
0,17,72,12,49,134,15,21,3,20,0,2,?
0,17,76,14,51,141,14,23,4,22,0,2,?
0,18,73,12,49,134,16,22,3,21,0,3,?
0,10,60,12,42,109,7,21,4,20,0,2,?
0,11,57,10,40,102,9,20,3,19,0,3,?
0,4,27,7,18,42,3,8,1,7,0,1,?
0,9,52,11,38,98,8,15,2,14,0,2,?
0,13,65,12,45,120,12,21,3,20,0,3,?
0,12,62,11,44,116,11,20,3,19,0,2,?
0,15,75,14,52,143,13,23,4,22,0,2,?
0,16,72,12,50,136,15,22,3,21,0,3,?
0,12,59,12,42,112,11,16,2,15,0,2,?
0,16,72,13,49,134,15,22,3,21,0,3,?
0,15,69,12,48,130,14,21,3,20,0,2,?
0,12,66,13,46,123,10,22,4,21,0,2,?
0,13,63,11,44,116,12,21,3,20,0,3,?
0,12,59,12,42,112,11,16,2,15,0,2,?
0,16,72,13,49,134,15,22,3,21,0,3,?
0,15,69,12,48,130,14,21,3,20,0,2,?
0,15,73,14,50,137,13,23,4,22,0,2,?
0,16,70,12,48,130,15,22,3,21,0,3,?
0,9,51,11,37,97,8,15,2,14,0,2,?
0,13,64,12,44,119,12,21,3,20,0,3,?
0,12,61,11,43,115,11,20,3,19,0,2,?
0,15,74,14,51,142,13,23,4,22,0,2,?
0,16,71,12,49,135,15,22,3,21,0,3,?
0,12,58,12,41,111,11,16,2,15,0,2,?
0,16,71,13,48,133,15,22,3,21,0,3,?
0,15,68,12,47,129,14,21,3,20,0,2,?
0,12,65,13,45,122,10,22,4,21,0,2,?
