@relation training_10.arff

@attribute INVOCATIONS numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute EQUAL numeric
@attribute LOCALS numeric
@attribute STATEMENTS numeric
@attribute DEREFERNCES numeric
@attribute THROWS numeric
@attribute IF numeric
@attribute ASSIGNMENTS numeric
@attribute GOTO numeric
@attribute FIELDS_WRITTEN numeric
@attribute class {hot,cold}

@data
5,3,1,0,17,12,4,0,0,8,0,1,cold
1,0,0,0,2,3,1,0,0,0,0,0,hot
1,0,0,0,4,4,2,0,0,0,0,0,hot
3,0,2,0,12,8,2,0,0,3,0,0,hot
18,3,3,2,57,35,5,0,4,23,5,0,cold
12,2,2,2,43,27,4,0,4,17,5,0,cold
11,2,2,2,40,25,4,0,3,16,4,0,cold
10,2,2,2,37,23,4,0,2,15,3,0,cold
18,3,3,2,56,34,5,0,4,23,4,0,cold
12,2,2,2,42,26,4,0,4,17,4,0,cold
11,2,2,2,39,24,4,0,3,16,3,0,cold
10,2,2,2,36,22,4,0,2,15,2,0,cold
10,1,1,1,29,19,3,0,1,11,3,0,cold
11,0,2,1,30,20,2,0,1,10,2,0,cold
2,1,0,0,8,6,2,0,0,2,0,0,hot
4,0,0,3,27,15,4,0,4,9,4,0,cold
7,0,0,5,47,26,6,0,7,16,8,0,cold
5,0,1,3,32,20,3,1,5,11,6,0,cold
5,0,0,4,39,22,5,0,6,13,7,0,cold
3,0,1,2,24,16,2,1,4,8,5,0,cold
2,0,1,1,12,9,1,1,2,4,2,0,cold
2,0,1,1,7,6,1,1,1,2,1,0,hot
13,3,2,0,38,21,5,0,0,16,0,0,cold
7,1,2,0,20,12,2,0,0,8,0,0,hot
4,0,1,2,29,16,1,0,2,11,3,0,cold
2,0,1,1,15,10,1,0,1,7,1,0,cold
4,0,1,0,12,8,1,0,0,4,0,0,hot
0,0,0,0,6,6,4,0,1,0,1,0,hot
1,0,1,1,23,13,4,0,3,4,3,0,cold
1,0,0,1,18,11,4,0,3,2,3,0,hot
1,0,1,1,16,10,4,0,2,2,2,0,cold
1,4,0,0,4,6,4,0,0,5,0,3,hot
0,0,0,0,0,1,0,0,0,0,0,0,hot
4,0,1,0,11,9,1,0,0,4,1,0,hot
3,0,0,0,11,7,1,0,0,4,0,0,hot
1,0,0,0,6,5,3,0,0,0,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
2,0,0,0,4,4,1,0,0,1,0,0,hot
5,1,1,0,11,8,1,0,0,6,0,1,hot
7,26,2,1,73,49,31,0,3,35,4,15,cold
7,26,2,1,73,48,31,0,3,35,3,15,cold
7,25,2,1,72,48,30,0,3,34,4,14,cold
7,25,2,1,72,47,30,0,3,34,3,14,cold
7,25,2,1,72,48,30,0,3,34,4,14,cold
7,25,2,1,72,47,30,0,3,34,3,14,cold
7,24,2,1,71,47,29,0,3,33,4,13,cold
7,24,2,1,71,46,29,0,3,33,3,13,cold
0,6,0,0,22,16,7,0,3,9,5,2,cold
2,9,0,0,27,20,10,0,3,12,4,4,cold
0,7,0,0,26,17,8,0,3,10,5,2,cold
2,10,0,0,31,21,11,0,3,13,4,4,cold
0,7,0,0,25,15,8,0,2,10,3,2,cold
2,10,0,0,30,19,11,0,2,13,2,4,cold
2,16,1,0,21,21,17,0,0,17,0,16,cold
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,2,0,0,6,5,4,0,0,2,0,2,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
