@relation observations_40.arff_clustered

@attribute Instance_number numeric
@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute GOTO numeric
@attribute LOCALS numeric
@attribute EQUAL numeric
@attribute IF numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}
@attribute Cluster {cluster0,cluster1}

@data
294,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster1
295,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
296,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster1
297,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
298,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster1
299,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
300,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster1
301,0,3,0,5,0,0,9,0,0,0,2,3,?,cluster1
302,0,7,0,25,9,4,46,2,2,0,4,10,?,cluster1
303,0,7,0,24,9,3,45,2,2,0,4,10,?,cluster1
304,0,7,0,17,6,1,33,1,1,0,4,7,?,cluster1
305,0,1,0,6,1,2,6,0,1,0,0,2,?,cluster1
306,0,1,0,5,1,1,6,0,1,0,0,2,?,cluster1
307,0,4,2,23,11,4,36,3,3,0,2,13,?,cluster1
308,0,4,1,12,3,2,17,2,2,0,2,6,?,cluster1
309,0,3,1,8,1,1,10,1,1,0,1,3,?,cluster1
310,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster1
311,0,3,0,7,1,2,6,0,1,1,3,4,?,cluster1
312,0,2,0,4,0,1,4,0,1,0,2,2,?,cluster1
313,0,4,1,12,5,0,17,0,0,1,3,8,?,cluster1
314,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster1
315,0,2,0,4,1,0,4,0,0,0,0,0,?,cluster1
316,0,3,5,45,21,6,67,4,4,0,0,29,?,cluster1
317,0,3,7,62,29,10,97,5,7,0,0,37,?,cluster1
318,0,3,7,57,27,8,88,5,6,0,0,35,?,cluster1
319,0,3,7,61,28,10,95,5,7,0,0,37,?,cluster1
320,0,3,7,56,26,8,86,5,6,0,0,35,?,cluster1
321,0,3,3,28,11,3,39,2,2,0,0,18,?,cluster1
322,0,3,4,40,17,6,58,4,4,0,0,25,?,cluster1
323,0,3,6,57,25,10,88,5,7,0,0,33,?,cluster1
324,0,3,6,52,23,8,79,5,6,0,0,31,?,cluster1
325,0,3,6,56,24,10,86,5,7,0,0,33,?,cluster1
326,0,3,6,51,22,8,77,5,6,0,0,31,?,cluster1
327,0,3,2,23,7,3,30,2,2,0,0,14,?,cluster1
328,0,2,0,6,2,0,7,0,0,0,1,2,?,cluster1
329,0,2,2,8,3,0,12,0,0,0,0,3,?,cluster1
330,0,5,3,35,18,5,57,2,4,0,3,23,?,cluster1
331,0,4,2,27,12,5,43,2,4,0,2,17,?,cluster1
332,0,4,2,25,11,4,40,2,3,0,2,16,?,cluster1
333,0,4,2,23,10,3,37,2,2,0,2,15,?,cluster1
334,0,5,3,34,18,4,56,2,4,0,3,23,?,cluster1
335,0,4,2,26,12,4,42,2,4,0,2,17,?,cluster1
336,0,4,2,24,11,3,39,2,3,0,2,16,?,cluster1
337,0,4,2,22,10,2,36,2,2,0,2,15,?,cluster1
338,0,3,1,19,10,3,29,1,1,0,1,11,?,cluster1
339,0,2,2,20,11,2,30,1,1,0,0,10,?,cluster1
340,0,2,0,6,2,0,8,0,0,0,1,2,?,cluster1
341,0,4,0,15,4,4,27,3,4,0,0,9,?,cluster1
342,0,6,0,26,7,8,47,5,7,0,0,16,?,cluster1
343,1,3,1,20,5,6,32,3,5,0,0,11,?,cluster1
344,0,5,0,22,5,7,39,4,6,0,0,13,?,cluster1
345,1,2,1,16,3,5,24,2,4,0,0,8,?,cluster1
346,1,1,1,9,2,2,12,1,2,0,0,4,?,cluster1
347,1,1,1,6,2,1,7,1,1,0,0,2,?,cluster1
348,0,1,0,5,1,2,5,1,2,0,0,1,?,cluster1
349,0,4,1,29,11,8,45,2,6,0,1,16,?,cluster1
350,0,3,0,21,5,8,31,2,6,0,0,10,?,cluster1
351,0,6,2,38,17,8,64,2,7,0,2,24,?,cluster1
352,0,5,1,30,11,8,50,2,7,0,1,18,?,cluster1
353,0,4,1,29,11,8,47,2,7,0,1,17,?,cluster1
354,0,3,0,21,5,8,33,2,7,0,0,11,?,cluster1
355,0,2,1,19,9,4,29,1,4,0,1,11,?,cluster1
356,0,1,0,11,3,4,15,1,4,0,0,5,?,cluster1
357,0,1,0,3,0,1,2,1,1,0,0,0,?,cluster1
358,0,5,2,21,13,0,38,0,0,0,3,16,?,cluster1
359,0,2,2,12,7,0,20,0,0,0,1,8,?,cluster1
360,0,1,1,16,4,3,29,2,2,0,0,11,?,cluster1
361,0,1,1,10,2,1,15,1,1,0,0,7,?,cluster1
362,0,1,1,8,4,0,12,0,0,0,0,4,?,cluster1
363,0,4,0,6,0,1,6,0,1,0,0,0,?,cluster1
364,0,4,1,13,1,3,23,1,3,0,0,4,?,cluster1
365,0,4,0,11,1,3,18,1,3,0,0,2,?,cluster1
366,0,4,1,10,1,2,16,1,2,0,0,2,?,cluster1
367,0,4,0,6,1,0,4,0,0,3,4,5,?,cluster1
368,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster1
369,0,1,1,9,4,1,11,0,0,0,0,4,?,cluster1
370,0,1,0,7,3,0,11,0,0,0,0,4,?,cluster1
371,0,3,0,5,1,0,6,0,0,0,0,0,?,cluster1
372,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster1
373,0,1,0,4,2,0,4,0,0,0,0,1,?,cluster1
374,0,1,1,8,5,0,11,0,0,1,1,6,?,cluster1
375,0,31,2,49,7,4,73,1,3,15,26,35,?,cluster1
376,0,31,2,48,7,3,73,1,3,15,26,35,?,cluster1
377,0,30,2,48,7,4,72,1,3,14,25,34,?,cluster1
378,0,30,2,47,7,3,72,1,3,14,25,34,?,cluster1
379,0,30,2,48,7,4,72,1,3,14,25,34,?,cluster1
380,0,30,2,47,7,3,72,1,3,14,25,34,?,cluster1
381,0,29,2,47,7,4,71,1,3,13,24,33,?,cluster1
382,0,29,2,46,7,3,71,1,3,13,24,33,?,cluster1
383,0,14,0,45,10,7,81,2,5,2,13,33,?,cluster1
384,0,15,0,56,11,11,103,2,9,2,14,40,?,cluster1
385,0,22,0,71,13,14,131,2,11,4,21,49,?,cluster1
386,0,21,0,69,12,15,125,3,13,3,20,47,?,cluster1
387,0,21,0,68,11,15,124,3,13,3,20,47,?,cluster1
388,0,20,0,66,11,14,121,2,12,3,19,46,?,cluster1
389,0,16,0,64,12,14,120,2,12,2,15,45,?,cluster1
390,0,23,0,79,14,17,148,2,14,4,22,54,?,cluster1
391,0,22,0,77,13,18,142,3,16,3,21,52,?,cluster1
392,0,22,0,76,12,18,141,3,16,3,21,52,?,cluster1
393,0,21,0,74,12,17,138,2,15,3,20,51,?,cluster1
394,0,16,0,63,12,14,117,2,12,2,15,44,?,cluster1
